ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Caff,Choc,Coke,Ecstasy,Heroin,LSD,Mushrooms,Nicotine,Benzos
17,45-54,M,Left school at 16 years,Bangladesh,tribe,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,CL6,CL6,CL4,CL1,CL1,CL0,CL1,CL1,CL6,CL0
18,55-64,M,University degree,Bangladesh,Ntribe,1.37297,-0.15487,-0.17779,-1.92595,-1.5184,-0.71126,-0.21575,CL6,CL6,CL6,CL2,CL2,CL0,CL1,CL1,CL0,CL2
19,35-44,M,Professional certificate/ diploma,Bangladesh,Ntribe,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,CL4,CL6,CL6,CL0,CL1,CL0,CL0,CL0,CL1,CL0
20,45-54,M,Professional certificate/ diploma,Bangladesh,Ntribe,-0.79151,0.80523,0.7233,1.61108,-1.13788,0.19268,-0.21575,CL6,CL6,CL6,CL0,CL0,CL0,CL1,CL1,CL3,CL0
21,65+,M,Left school before 16 years,Bangladesh,tribe,-1.1943,0.47617,-1.11902,-0.60633,1.81175,-0.21712,-1.18084,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL1,CL1,CL0
22,45-54,M,University degree,Bangladesh,Ntribe,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,CL4,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
23,45-54,M,Left school at 16 years,Bangladesh,Ntribe,1.60383,-3.27393,-1.27553,0.28783,-1.0145,-1.37983,-1.54858,CL6,CL6,CL6,CL2,CL0,CL1,CL1,CL0,CL6,CL5
24,55-64,M,University degree,Bangladesh,Ntribe,-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,CL5,CL5,CL5,CL1,CL1,CL0,CL1,CL1,CL6,CL1
25,45-54,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,CL5,CL6,CL5,CL2,CL2,CL0,CL2,CL2,CL1,CL0
26,55-64,F,Left school at 18 years,Bangladesh,Ntribe,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL2
27,35-44,M,University degree,Bangladesh,Ntribe,0.52135,-1.23177,-0.01928,-0.01729,-2.18109,1.86203,0.40148,CL6,CL6,CL5,CL1,CL0,CL0,CL1,CL3,CL2,CL2
28,35-44,F,Masters degree,Bangladesh,tribe,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
29,45-54,M,Doctorate degree,Bangladesh,tribe,-1.32828,1.74091,0.88309,0.94156,1.81175,-0.21712,-0.52593,CL0,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
30,45-54,M,Left school at 16 years,Bangladesh,tribe,0.31287,-0.80615,-1.27553,-1.47955,-0.65253,-1.37983,0.07987,CL6,CL6,CL6,CL1,CL0,CL1,CL1,CL1,CL2,CL1
31,35-44,F,Left school at 16 years,Bangladesh,Ntribe,-1.1943,-0.80615,0.14143,-0.60633,-0.00665,-1.37983,-0.84637,CL3,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL1,CL2
32,35-44,M,University degree,Bangladesh,Ntribe,-0.79151,-1.23177,-0.01928,0.43852,-0.00665,0.19268,-0.84637,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL1,CL6,CL0
33,18-24,M,University degree,Bangladesh,Ntribe,0.41667,-0.30033,0.29338,1.2861,-0.14277,-0.71126,-1.54858,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
34,35-44,M,University degree,Bangladesh,Ntribe,1.02119,0.63779,0.88309,-2.90161,-0.78155,0.52975,1.92173,CL4,CL5,CL5,CL2,CL1,CL1,CL1,CL1,CL5,CL1
35,65+,M,Left school before 16 years,Bangladesh,Ntribe,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.54858,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
36,35-44,M,University degree,Bangladesh,Ntribe,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
37,55-64,M,Left school before 16 years,Bangladesh,Ntribe,0.31287,0.32197,1.06238,0.13136,-0.65253,0.52975,-0.52593,CL6,CL6,CL4,CL1,CL0,CL0,CL1,CL1,CL6,CL1
38,45-54,M,University degree,Bangladesh,Ntribe,-1.55078,1.2861,0.29338,-0.01729,0.7583,-0.21712,-0.84637,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL1,CL1,CL0
39,65+,F,Professional certificate/ diploma,Bangladesh,Ntribe,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,-1.37983,-0.21575,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0
40,35-44,M,Masters degree,Bangladesh,Ntribe,0.04257,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL2
41,35-44,F,University degree,Bangladesh,Ntribe,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,CL4,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0
42,35-44,M,Masters degree,Bangladesh,Ntribe,-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,-0.21712,-0.52593,CL6,CL6,CL4,CL6,CL4,CL0,CL0,CL0,CL1,CL5
43,35-44,M,Professional certificate/ diploma,Bangladesh,Ntribe,-0.92104,-0.57545,-0.31776,-0.15487,-1.0145,-0.21712,-0.21575,CL6,CL6,CL6,CL3,CL2,CL0,CL2,CL0,CL6,CL0
44,25-34,M,University degree,Bangladesh,Ntribe,-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987,CL5,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL2,CL0
45,25-34,F,University degree,Bangladesh,Ntribe,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
46,45-54,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.31287,0.63779,-1.11902,0.28783,1.46191,-0.71126,-0.84637,CL3,CL6,CL4,CL0,CL0,CL0,CL1,CL0,CL2,CL0
47,45-54,M,Masters degree,Bangladesh,Ntribe,-2.05048,0.80523,0.29338,0.94156,1.13407,-2.55524,-1.18084,CL5,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0
48,45-54,M,Left school at 16 years,Bangladesh,Ntribe,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,0.19268,-0.84637,CL6,CL6,CL6,CL1,CL0,CL0,CL0,CL1,CL6,CL0
49,25-34,F,Masters degree,Bangladesh,Ntribe,0.82562,-0.57545,-1.97495,-0.91699,0.25953,0.52975,1.2247,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL5,CL0
50,35-44,M,Masters degree,Bangladesh,Ntribe,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,-0.71126,-0.84637,CL6,CL6,CL6,CL2,CL3,CL0,CL1,CL3,CL6,CL1
51,45-54,M,Professional certificate/ diploma,Bangladesh,Ntribe,1.13281,0.96248,-0.58331,-0.91699,-1.92173,1.86203,1.92173,CL2,CL6,CL6,CL1,CL0,CL0,CL1,CL1,CL2,CL1
52,55-64,F,University degree,Bangladesh,Ntribe,-0.14882,0.00332,-1.42424,0.28783,-0.78155,0.52975,-1.54858,CL5,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL1,CL0
53,45-54,M,Masters degree,Bangladesh,Ntribe,-1.43907,-0.15487,1.06238,0.28783,0.25953,-0.21712,-0.21575,CL5,CL6,CL5,CL1,CL1,CL0,CL1,CL1,CL1,CL0
54,55-64,M,Left school at 16 years,Bangladesh,Ntribe,0.04257,1.11406,-0.58331,-1.07533,-1.13788,1.29221,1.2247,CL6,CL6,CL6,CL6,CL3,CL0,CL1,CL1,CL1,CL0
55,55-64,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
56,35-44,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
57,25-34,F,University degree,Bangladesh,Ntribe,-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593,CL1,CL6,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0
58,45-54,M,Left school at 18 years,Bangladesh,Ntribe,0.22393,0.63779,-0.01928,-0.45321,-0.40581,1.86203,1.2247,CL5,CL6,CL5,CL5,CL3,CL1,CL1,CL2,CL6,CL0
59,45-54,M,University degree,Bangladesh,Ntribe,-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,-1.37983,-1.54858,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
60,25-34,F,Doctorate degree,Bangladesh,Ntribe,1.37297,0.32197,0.29338,-0.30172,-0.27607,-1.37983,0.07987,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL3
61,45-54,M,Masters degree,Bangladesh,Ntribe,-2.21844,1.58487,1.24033,0.13136,1.30612,-1.37983,-1.18084,CL5,CL4,CL5,CL0,CL0,CL0,CL0,CL1,CL0,CL0
62,25-34,M,University degree,Bangladesh,Ntribe,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,CL5,CL5,CL5,CL0,CL0,CL0,CL0,CL0,CL4,CL0
63,45-54,M,University degree,Bangladesh,Ntribe,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,CL5,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
64,45-54,M,Doctorate degree,Bangladesh,Ntribe,-1.55078,0.47617,1.06238,-0.45321,0.93949,-1.37983,-0.52593,CL6,CL6,CL5,CL4,CL0,CL0,CL1,CL1,CL1,CL1
65,35-44,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.73545,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL3
66,45-54,M,Left school at 16 years,Bangladesh,Ntribe,-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,CL4,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
67,25-34,M,Masters degree,Bangladesh,Ntribe,-0.34799,-0.30033,1.06238,-0.91699,-0.14277,0.88113,-0.21575,CL5,CL6,CL5,CL1,CL0,CL0,CL1,CL1,CL5,CL0
68,35-44,M,Professional certificate/ diploma,Bangladesh,Ntribe,-0.92104,0.00332,0.29338,-0.15487,-0.27607,-0.21712,0.07987,CL5,CL5,CL6,CL3,CL2,CL0,CL1,CL1,CL1,CL0
69,45-54,F,Left school at 16 years,Bangladesh,Ntribe,-0.05188,-0.69509,-1.68062,0.28783,-0.00665,-1.37983,-0.84637,CL6,CL1,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL6
70,25-34,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.34799,-0.30033,0.14143,-1.92595,-0.27607,0.52975,0.7654,CL6,CL4,CL6,CL3,CL3,CL0,CL2,CL0,CL2,CL0
71,45-54,F,Left school at 18 years,Bangladesh,Ntribe,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
72,45-54,M,Left school at 18 years,Bangladesh,Ntribe,-1.55078,0.96248,-0.01928,0.43852,0.93949,0.19268,0.40148,CL6,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL2,CL0
73,45-54,M,Professional certificate/ diploma,Bangladesh,Ntribe,-0.67825,-0.57545,-0.31776,0.28783,1.13407,-0.71126,-0.21575,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0
74,65+,F,Left school at 16 years,Bangladesh,Ntribe,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,0.52975,-2.07848,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0
75,25-34,M,University degree,Bangladesh,Ntribe,-0.14882,0.16767,-1.55521,-0.76096,-0.40581,0.52975,-0.21575,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
76,45-54,F,Left school at 17 years,Bangladesh,Ntribe,-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848,CL4,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL0
77,35-44,M,University degree,Bangladesh,Ntribe,0.13606,-1.6334,-0.58331,-1.21213,-0.40581,-0.21712,-2.07848,CL3,CL6,CL5,CL1,CL1,CL0,CL1,CL0,CL6,CL0
78,35-44,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.79151,-0.80615,-2.09015,-1.6209,-2.18109,-2.55524,-1.18084,CL6,CL6,CL5,CL1,CL1,CL0,CL0,CL0,CL3,CL0
79,35-44,M,Professional certificate/ diploma,Bangladesh,Ntribe,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0
80,65+,F,Doctorate degree,Bangladesh,Ntribe,0.04257,0.32197,0.44585,-0.15487,1.46191,-0.21712,-0.21575,CL6,CL6,CL5,CL1,CL0,CL0,CL0,CL0,CL0,CL3
81,55-64,F,University degree,Bangladesh,Ntribe,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,CL5,CL6,CL6,CL1,CL0,CL1,CL1,CL1,CL1,CL1
82,55-64,M,Masters degree,Bangladesh,Ntribe,-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
83,55-64,F,Left school at 17 years,Bangladesh,Ntribe,1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL5
84,45-54,M,Left school at 16 years,Bangladesh,Ntribe,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987,CL5,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0
85,25-34,F,Left school at 18 years,Bangladesh,Ntribe,-0.46725,0.00332,-1.55521,0.13136,0.41594,0.52975,1.2247,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
86,35-44,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.73545,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,CL5,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL0
87,55-64,M,Left school at 16 years,Bangladesh,Ntribe,-0.92104,0.16767,-0.45174,-0.30172,0.25953,-0.71126,0.40148,CL5,CL5,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
88,35-44,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,0.31287,-1.92173,-1.42424,-0.76096,-0.52745,-1.37983,-2.07848,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL1,CL1,CL1
89,35-44,F,Masters degree,Bangladesh,Ntribe,0.91093,-0.57545,0.29338,-0.60633,-0.27607,0.52975,-0.21575,CL5,CL6,CL5,CL0,CL0,CL0,CL1,CL1,CL0,CL2
90,35-44,F,Masters degree,Bangladesh,Ntribe,1.37297,0.32197,0.7233,0.28783,-0.78155,-1.37983,0.07987,CL6,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL4,CL0
91,35-44,M,Professional certificate/ diploma,Bangladesh,Ntribe,0.41667,-0.43999,0.7233,0.28783,0.7583,0.88113,0.7654,CL2,CL6,CL0,CL0,CL0,CL0,CL1,CL1,CL1,CL3
92,25-34,M,Left school at 18 years,Bangladesh,Ntribe,-1.55078,-0.30033,-0.45174,0.28783,-0.00665,-0.71126,-0.84637,CL4,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL1,CL0
93,65+,F,Left school at 16 years,Bangladesh,Ntribe,-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
94,45-54,M,Masters degree,Bangladesh,Ntribe,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,-1.37983,-2.07848,CL5,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL3,CL3
95,45-54,M,Masters degree,Bangladesh,Ntribe,-0.46725,0.32197,1.06238,-1.6209,1.13407,0.52975,-0.21575,CL6,CL6,CL6,CL1,CL0,CL0,CL1,CL1,CL1,CL1
96,35-44,F,University degree,Bangladesh,Ntribe,0.13606,-1.09207,0.29338,-0.15487,0.7583,-1.37983,-1.54858,CL4,CL6,CL6,CL1,CL0,CL0,CL1,CL1,CL3,CL0
97,45-54,F,Masters degree,Bangladesh,Ntribe,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.84637,CL5,CL6,CL5,CL1,CL0,CL0,CL0,CL0,CL2,CL1
98,35-44,M,Doctorate degree,Bangladesh,Ntribe,-1.1943,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.2247,CL4,CL6,CL4,CL1,CL0,CL0,CL1,CL1,CL2,CL0
99,25-34,F,University degree,Bangladesh,Ntribe,-0.67825,3.00537,0.7233,0.94156,1.63088,0.52975,0.40148,CL6,CL6,CL5,CL0,CL1,CL0,CL0,CL0,CL5,CL3
100,25-34,M,Masters degree,Bangladesh,Ntribe,-1.05308,2.57309,0.58331,-1.47955,-0.40581,-0.21712,1.2247,CL6,CL6,CL5,CL3,CL3,CL0,CL2,CL3,CL0,CL4
101,45-54,F,Left school at 16 years,Bangladesh,Ntribe,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637,CL4,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL6,CL0
102,45-54,M,Left school at 18 years,Bangladesh,Ntribe,-0.58016,1.2861,1.43533,-1.34289,-0.00665,-0.71126,1.2247,CL6,CL6,CL4,CL4,CL2,CL2,CL2,CL2,CL1,CL4
103,45-54,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654,CL4,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
104,25-34,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.92104,0.16767,-0.17779,1.11406,0.58489,-0.71126,0.07987,CL5,CL6,CL6,CL2,CL2,CL0,CL0,CL2,CL6,CL0
105,35-44,M,Professional certificate/ diploma,Bangladesh,Ntribe,-2.21844,0.47617,-1.82919,-0.76096,2.04506,-1.37983,-1.54858,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
106,25-34,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,1.02119,-0.30033,-1.82919,0.28783,-0.40581,-1.37983,-0.84637,CL4,CL5,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
107,35-44,F,Left school at 16 years,Bangladesh,Ntribe,0.13606,0.00332,-1.27553,-0.76096,0.58489,0.52975,-0.21575,CL5,CL6,CL6,CL3,CL0,CL0,CL0,CL0,CL6,CL0
108,25-34,F,University degree,Bangladesh,Ntribe,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,CL5,CL6,CL6,CL4,CL0,CL0,CL0,CL0,CL1,CL3
109,45-54,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,-0.71126,0.07987,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL3,CL0
110,45-54,M,Masters degree,Bangladesh,Ntribe,-0.14882,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,CL5,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL0,CL0
111,25-34,M,Masters degree,Bangladesh,Ntribe,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,0.19268,0.40148,CL6,CL6,CL0,CL0,CL0,CL0,CL1,CL1,CL0,CL0
112,25-34,F,University degree,Bangladesh,Ntribe,-1.1943,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575,CL3,CL6,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
113,45-54,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.04257,0.63779,0.29338,0.13136,0.7583,0.19268,-0.21575,CL4,CL6,CL4,CL0,CL0,CL0,CL0,CL0,CL6,CL1
114,35-44,M,"Some college or university, no certificate or degree",Bangladesh,Ntribe,-2.3436,1.93886,1.43533,-0.76096,-1.38502,1.86203,1.2247,CL4,CL6,CL4,CL1,CL2,CL2,CL2,CL2,CL6,CL2
115,25-34,F,Professional certificate/ diploma,Bangladesh,Ntribe,0.22393,-0.57545,-0.84732,0.28783,1.13407,-1.37983,-2.07848,CL5,CL6,CL5,CL2,CL2,CL0,CL1,CL2,CL6,CL0
116,35-44,M,Professional certificate/ diploma,Bangladesh,Ntribe,0.62967,-0.57545,0.14143,-1.772,-0.40581,0.52975,-0.21575,CL4,CL4,CL6,CL0,CL0,CL0,CL0,CL0,CL6,CL0
117,25-34,F,University degree,Bangladesh,Ntribe,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148,CL5,CL6,CL5,CL3,CL3,CL2,CL2,CL3,CL4,CL3
118,35-44,F,"Some college or university, no certificate or degree",Bangladesh,Ntribe,1.8399,-1.92173,-2.39883,1.11406,0.25953,-0.21712,-1.54858,CL5,CL6,CL6,CL0,CL0,CL0,CL1,CL0,CL6,CL6
119,35-44,F,University degree,Bangladesh,Ntribe,-0.34799,0.63779,-0.97631,0.28783,1.46191,-0.21712,-0.84637,CL5,CL4,CL5,CL0,CL0,CL0,CL0,CL0,CL2,CL0
120,25-34,F,Masters degree,Bangladesh,Ntribe,-1.05308,0.63779,-0.97631,-1.07533,0.7583,0.19268,1.92173,CL6,CL6,CL6,CL0,CL0,CL0,CL1,CL1,CL2,CL0
121,35-44,F,Professional certificate/ diploma,Bangladesh,Ntribe,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987,CL2,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL1,CL0
122,55-64,M,Masters degree,Bangladesh,Ntribe,0.22393,0.16767,-0.17779,-0.30172,-0.89891,-0.21712,-0.52593,CL6,CL6,CL3,CL0,CL0,CL0,CL0,CL0,CL1,CL0
123,25-34,F,University degree,Bangladesh,Ntribe,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987,CL5,CL6,CL5,CL2,CL0,CL0,CL0,CL0,CL3,CL0
124,45-54,M,Left school at 16 years,Bangladesh,Ntribe,-0.34799,1.93886,0.29338,0.43852,0.58489,-0.21712,-0.21575,CL3,CL6,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
125,55-64,M,University degree,Bangladesh,Ntribe,-0.46725,1.2861,0.44585,0.13136,1.13407,0.52975,0.40148,CL6,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL2,CL0
126,45-54,M,University degree,Bangladesh,Ntribe,-1.1943,0.63779,-1.11902,-0.45321,-0.00665,-0.21712,-0.84637,CL5,CL5,CL5,CL0,CL0,CL0,CL0,CL1,CL0,CL0
127,45-54,F,Left school at 17 years,Bangladesh,Ntribe,-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848,CL5,CL0,CL5,CL0,CL0,CL0,CL0,CL0,CL0,CL0
